Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9053064958828911,0.905995570172617,0.9053064958828911,0.9046274105015417
Gradient Boosting,0.9057639524245197,0.9060042889528225,0.9057639524245197,0.9051664043569465
SVM,0.9336688014638609,0.9340807363112047,0.9336688014638609,0.9337068746255206
Logistic Regression,0.8801463860933212,0.8795043923995933,0.8801463860933212,0.8794015525845668
