accuracy,loss,val_accuracy,val_loss
0.5206369757652283,1.1886239051818848,0.7408198118209839,0.6855794787406921
0.7815502882003784,0.6023186445236206,0.8531169891357422,0.3842022120952606
0.8532991409301758,0.4070930778980255,0.8795900940895081,0.32410240173339844
0.8851468563079834,0.32418912649154663,0.905636191368103,0.2545309066772461
0.8923766613006592,0.3058384358882904,0.9242100715637207,0.21532998979091644
0.9086666107177734,0.2633614242076874,0.9210076928138733,0.2210797667503357
0.9201976656913757,0.2267570197582245,0.9086251258850098,0.2784087657928467
0.9223940968513489,0.22234000265598297,0.8990179300308228,0.3359020948410034
0.9298068881034851,0.20147928595542908,0.9171648025512695,0.2802685499191284
0.9309051036834717,0.19722525775432587,0.9372331500053406,0.21234142780303955
0.9271529316902161,0.20599186420440674,0.9252775311470032,0.22630169987678528
0.9390500783920288,0.17492304742336273,0.9449188709259033,0.17643585801124573
0.942527711391449,0.16326996684074402,0.9321092963218689,0.24500928819179535
0.9373112320899963,0.17223647236824036,0.9376600980758667,0.19620348513126373
0.9441750049591064,0.1673119068145752,0.9239965677261353,0.2940271198749542
0.9427106976509094,0.18213841319084167,0.9451323747634888,0.19121083617210388
0.9489338397979736,0.15341821312904358,0.928693413734436,0.21120189130306244
0.9503065943717957,0.14864687621593475,0.9167378544807434,0.31791260838508606
0.9524114727973938,0.14122599363327026,0.950896680355072,0.19056595861911774
0.9532350897789001,0.14166612923145294,0.953031599521637,0.1812891811132431
0.9568957686424255,0.12566569447517395,0.9451323747634888,0.23467259109020233
0.948476254940033,0.17880477011203766,0.9122545123100281,0.35820960998535156
0.9554315209388733,0.13632212579250336,0.9276259541511536,0.3382955491542816
0.9630273580551147,0.11625703424215317,0.9555935263633728,0.18017373979091644
0.9679692387580872,0.10216540843248367,0.9348847270011902,0.2952713072299957
0.9492998719215393,0.15153519809246063,0.9357386827468872,0.2566116750240326
0.964491605758667,0.11216969043016434,0.9581553936004639,0.20948193967342377
0.9602818489074707,0.12531352043151855,0.9485482573509216,0.22590860724449158
0.9611055254936218,0.11936317384243011,0.9417164921760559,0.27576473355293274
0.9528690576553345,0.15368975698947906,0.9483347535133362,0.22600828111171722
0.9627528190612793,0.11407025158405304,0.951750636100769,0.24617350101470947
0.9676946997642517,0.10948769748210907,0.9250640273094177,0.37768957018852234
0.9676946997642517,0.10593313723802567,0.9590094089508057,0.19653044641017914
0.9689759016036987,0.10597595572471619,0.9592229127883911,0.21178752183914185
0.9711723327636719,0.10142197459936142,0.9602903723716736,0.22312556207180023
0.9704402089118958,0.09063952416181564,0.9560204744338989,0.22632114589214325
0.9561636447906494,0.14924651384353638,0.9609308242797852,0.19053979218006134
0.9698910713195801,0.10441914945840836,0.9438514113426208,0.28777435421943665
0.9694334864616394,0.11046060919761658,0.9459863305091858,0.31784898042678833
0.9652237296104431,0.120231494307518,0.9357386827468872,0.2546026110649109
0.9650407433509827,0.11343386024236679,0.9658411741256714,0.18645969033241272
0.9715383648872375,0.08716601133346558,0.9590094089508057,0.23956076800823212
0.9629358649253845,0.11912056058645248,0.9568744897842407,0.22107863426208496
0.9714468717575073,0.0965292677283287,0.9553800225257874,0.2201298624277115
0.9730941653251648,0.10734232515096664,0.9671221375465393,0.2116231620311737
0.9665049910545349,0.13965260982513428,0.9447053670883179,0.2876969873905182
0.9699826240539551,0.1187349259853363,0.9560204744338989,0.29929080605506897
0.9767548441886902,0.07217592746019363,0.9481212496757507,0.27462175488471985
0.9709892868995667,0.1070234477519989,0.966481626033783,0.2098747044801712
0.9717214107513428,0.09769564121961594,0.9573014378547668,0.29824742674827576
